#,Position,Type,Poids %,Δ poids (pts),Titres,Δ titres %,Δ prix %,Statut,Valeur $,T1 26,T4 25,T3 25,T2 25,T1 25,T4 24
80,BTI,Actions,0.19986627078103764,-0.4096771975072399,765848.0,-74.05732504357947,3.2673979167415323,Allégé,44779133.0,0.19986627078103764,0.6095434682882775,0.7782281840980421,0.650829767134922,0.6207478013937514,0.44650597314151375
81,CVS,Actions,0.19824323418697962,-0.10197343252843813,618428.0,-40.38397766621166,-9.501008290817737,Allégé,44415499.0,0.19824323418697962,0.30021666671541775,0.35236706269608303,0.23277067995370773,0.09739308158926757,0.03323962729238566
82,MET,Actions,0.1977643269411427,-0.09503142715908197,626530.0,-38.39992999656865,-10.412970599975669,Allégé,44308202.0,0.1977643269411427,0.2927957541002247,0.5349984310056951,0.6130512892012445,0.6662605776907236,0.44974749833617006
83,CENX,Actions,0.19188704235475326,0.15305254462599577,732517.0,169.50786981508327,49.79581006770564,Renforcé,42991423.0,0.19188704235475326,0.038834497728757494,,,0.006330190512127963,0.036027148872741145
84,ALL,Actions,0.1915469774595529,-0.020094650782281315,206980.0,-25.76466199931137,-0.3891422230227204,Allégé,42915233.0,0.1915469774595529,0.21164162824183422,0.19950644856769786,0.3229612592913179,0.42939354959560594,0.33721761130730843
85,CFG,Actions,0.19101868291793717,0.009131233443924913,713638.0,-16.42633882302791,2.6707763614502777,Allégé,42796871.0,0.19101868291793717,0.18188744947401225,0.17568032065849648,0.07511379166184742,0.00844331761521014,0.013204204751454736
86,BPOP,Actions,0.18996532532156912,0.047741609964113085,317216.0,1.2812776378259467,7.749758568075782,Renforcé,42560871.0,0.18996532532156912,0.14222371535745604,0.08151768730057536,0.0024223174444810256,0.006223375912400076,0.016553927347663092
87,ZION,Actions,0.18641173420262863,0.007656423505439075,724830.0,-13.436079944108393,-1.5715742495662877,Allégé,41764705.0,0.18641173420262863,0.17875531069718956,0.12087611759367604,0.03648265785863725,,
88,COHR,Actions,0.17369639578085055,0.14072950310982207,163368.0,233.54703035995018,29.062143943540786,Renforcé,38915891.0,0.17369639578085055,0.032966892671028473,,,,
89,GSK,Actions,0.17210513844986935,-0.08122198675383352,698666.0,-50.677467746774674,12.540784376830283,Allégé,38559377.0,0.17210513844986935,0.2533271252037029,0.23699667519313877,0.20817928973334712,0.21623611964806205,0.348524604263474
90,SLB,Actions,0.17082881272330402,0.07740392475419211,744764.0,11.575298240147177,33.89786162439334,Renforcé,38273422.0,0.17082881272330402,0.09342488796911191,0.10928742510323043,,0.022988851290850862,0.06806961746723908
91,FHN,Actions,0.16574958488093236,0.08481754660782245,1631610.0,75.71173802354582,-4.769874309432176,Renforcé,37135444.0,0.16574958488093236,0.08093203827310991,,,,0.004140550741422335
92,DECK,Actions,0.16432872153130265,-0.0549873419682321,367840.0,-36.591336125907155,-3.4532646009989842,Allégé,36817106.0,0.16432872153130265,0.21931606349953475,0.02523441115596549,,0.20243914183365125,0.12496365237380748
93,DELL,Actions,0.16365128315882826,0.09188646245206682,223392.0,42.89588823785277,30.386083185184788,Renforcé,36665329.0,0.16365128315882826,0.07176482070676145,,,,
94,KGC,Actions,0.15786970682218,0.10462750127398815,1159586.0,124.00489895897122,8.15046951971361,Renforcé,35369993.0,0.15786970682218,0.05324220554819184,0.053612774644940096,0.06865873157740279,0.09020648137410482,0.04555331135659721
95,ALNY,Actions,0.15741489736304987,0.033258820295283806,106592.0,24.498639288926263,-16.79366274093822,Renforcé,35268095.0,0.15741489736304987,0.12415607706776606,0.06057510025130329,,,0.006960780498508706
